,Reaction,Dataset,Reference,Stoichiometry
6391,S66_42,S66,-0.0065095254006136,"1,4154_42UracilCyclopentane_dim_S66,-1,4154_42UracilCyclopentane_monA_S66,-1,4154_42UracilCyclopentane_monB_S66"
6392,S66_43,S66,-0.0058485160876335,"1,4155_43UracilNeopentane_dim_S66,-1,4155_43UracilNeopentane_monA_S66,-1,4155_43UracilNeopentane_monB_S66"
6393,S66_44,S66,-0.0031259042963777,"1,4156_44EthenePentane_dim_S66,-1,4156_44EthenePentane_monA_S66,-1,4156_44EthenePentane_monB_S66"
6394,S66_45,S66,-0.0026997583913503,"1,4157_45EthynePentane_dim_S66,-1,4157_45EthynePentane_monA_S66,-1,4157_45EthynePentane_monB_S66"
6395,S66_46,S66,-0.0067241865601054,"1,4158_46PeptidePentane_dim_S66,-1,4158_46PeptidePentane_monA_S66,-1,4158_46PeptidePentane_monB_S66"
6396,S66_47,S66,-0.0044916527155215,"1,4159_47BenzeneBenzeneTS_dim_S66,-1,4159_47BenzeneBenzeneTS_monA_S66,-1,4159_47BenzeneBenzeneTS_monB_S66"
6397,S66_48,S66,-0.0055593284438994,"1,4160_48PyridinePyridineTS_dim_S66,-1,4160_48PyridinePyridineTS_monA_S66,-1,4160_48PyridinePyridineTS_monB_S66"
6398,S66_49,S66,-0.0052238293696542,"1,4161_49BenzenePyridineTS_dim_S66,-1,4161_49BenzenePyridineTS_monA_S66,-1,4161_49BenzenePyridineTS_monB_S66"
6399,S66_50,S66,-0.004540698678831,"1,4162_50BenzeneEthyneCHpi_dim_S66,-1,4162_50BenzeneEthyneCHpi_monA_S66,-1,4162_50BenzeneEthyneCHpi_monB_S66"
6400,S66_51,S66,-0.0024336784472867,"1,4163_51EthyneEthyneTS_dim_S66,-1,4163_51EthyneEthyneTS_monA_S66,-1,4163_51EthyneEthyneTS_monB_S66"
6401,S66_52,S66,-0.007468498553458,"1,4164_52BenzeneAcOHOHpi_dim_S66,-1,4164_52BenzeneAcOHOHpi_monA_S66,-1,4164_52BenzeneAcOHOHpi_monB_S66"
6402,S66_53,S66,-0.0069660917837934,"1,4165_53BenzeneAcNH2NHpi_dim_S66,-1,4165_53BenzeneAcNH2NHpi_monA_S66,-1,4165_53BenzeneAcNH2NHpi_monB_S66"
6403,S66_54,S66,-0.0052071422389597,"1,4166_54BenzeneWaterOHpi_dim_S66,-1,4166_54BenzeneWaterOHpi_monA_S66,-1,4166_54BenzeneWaterOHpi_monB_S66"
6404,S66_55,S66,-0.0066063778048341,"1,4167_55BenzeneMeOHOHpi_dim_S66,-1,4167_55BenzeneMeOHOHpi_monA_S66,-1,4167_55BenzeneMeOHOHpi_monB_S66"
6405,S66_56,S66,-0.0050689520972175,"1,4168_56BenzeneMeNH2NHpi_dim_S66,-1,4168_56BenzeneMeNH2NHpi_monA_S66,-1,4168_56BenzeneMeNH2NHpi_monB_S66"
6406,S66_57,S66,-0.0083664770037046,"1,4169_57BenzenePeptideNHpi_dim_S66,-1,4169_57BenzenePeptideNHpi_monA_S66,-1,4169_57BenzenePeptideNHpi_monB_S66"
6407,S66_58,S66,-0.0066924296654064,"1,4170_58PyridinePyridineCHN_dim_S66,-1,4170_58PyridinePyridineCHN_monA_S66,-1,4170_58PyridinePyridineCHN_monB_S66"
6408,S66_59,S66,-0.0046398904179046,"1,4171_59EthyneWaterCHO_dim_S66,-1,4171_59EthyneWaterCHO_monA_S66,-1,4171_59EthyneWaterCHO_monB_S66"
6409,S66_60,S66,-0.0078824844488004,"1,4172_60EthyneAcOHOHpi_dim_S66,-1,4172_60EthyneAcOHOHpi_monA_S66,-1,4172_60EthyneAcOHOHpi_monB_S66"
6410,S66_61,S66,-0.0045734047262579,"1,4173_61PentaneAcOH_dim_S66,-1,4173_61PentaneAcOH_monA_S66,-1,4173_61PentaneAcOH_monB_S66"
6411,S66_62,S66,-0.0055650288520514,"1,4174_62PentaneAcNH2_dim_S66,-1,4174_62PentaneAcNH2_monA_S66,-1,4174_62PentaneAcNH2_monB_S66"
6412,S66_63,S66,-0.005930655164219,"1,4175_63BenzeneAcOH_dim_S66,-1,4175_63BenzeneAcOH_monA_S66,-1,4175_63BenzeneAcOH_monB_S66"
6413,S66_64,S66,-0.0047416495802953,"1,4176_64PeptideEthene_dim_S66,-1,4176_64PeptideEthene_monA_S66,-1,4176_64PeptideEthene_monB_S66"
6414,S66_65,S66,-0.0064947643812662,"1,4177_65PyridineEthyne_dim_S66,-1,4177_65PyridineEthyne_monA_S66,-1,4177_65PyridineEthyne_monB_S66"
6415,S66_66,S66,-0.0062667539450593,"1,4178_66MeNH2Pyridine_dim_S66,-1,4178_66MeNH2Pyridine_monA_S66,-1,4178_66MeNH2Pyridine_monB_S66"
